2022-04-25 14:11:56.186  INFO [authorizationService,,] 14316 --- [Thread-7] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Shutdown initiated...
2022-04-25 14:11:56.190  INFO [authorizationService,,] 14316 --- [Thread-7] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Shutdown completed.
2022-04-25 14:11:56.898  INFO [authorizationService,,] 14316 --- [restartedMain] c.c.AuthorizationMicroserviceApplication : Starting AuthorizationMicroserviceApplication using Java 1.8.0_141 on LTIN310484 with PID 14316 (C:\Users\894566\OneDrive - Cognizant\Desktop\FSE0\Pension management\PensionManagementSystem-master\PensionManagementSystem-master\authorization-microservice\target\classes started by 894566 in C:\Users\894566\OneDrive - Cognizant\Desktop\FSE0\Pension management\PensionManagementSystem-master\PensionManagementSystem-master\authorization-microservice)
2022-04-25 14:11:56.898  INFO [authorizationService,,] 14316 --- [restartedMain] c.c.AuthorizationMicroserviceApplication : No active profile set, falling back to default profiles: default
2022-04-25 14:11:57.603  INFO [authorizationService,,] 14316 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2022-04-25 14:11:57.634  INFO [authorizationService,,] 14316 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 30 ms. Found 1 JPA repository interfaces.
2022-04-25 14:11:57.801  INFO [authorizationService,,] 14316 --- [restartedMain] o.s.cloud.context.scope.GenericScope     : BeanFactory id=528b1acf-83df-34cd-88dd-6d1010a2cef8
2022-04-25 14:11:58.092  INFO [authorizationService,,] 14316 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 9090 (http)
2022-04-25 14:11:58.093  INFO [authorizationService,,] 14316 --- [restartedMain] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2022-04-25 14:11:58.094  INFO [authorizationService,,] 14316 --- [restartedMain] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.50]
2022-04-25 14:11:58.119  INFO [authorizationService,,] 14316 --- [restartedMain] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2022-04-25 14:11:58.120  INFO [authorizationService,,] 14316 --- [restartedMain] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 1217 ms
2022-04-25 14:11:58.169  INFO [authorizationService,,] 14316 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-2 - Starting...
2022-04-25 14:11:58.172  INFO [authorizationService,,] 14316 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-2 - Start completed.
2022-04-25 14:11:58.173  INFO [authorizationService,,] 14316 --- [restartedMain] o.s.b.a.h2.H2ConsoleAutoConfiguration    : H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:testDB'
2022-04-25 14:11:58.288  INFO [authorizationService,,] 14316 --- [restartedMain] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
2022-04-25 14:11:58.295  INFO [authorizationService,,] 14316 --- [restartedMain] org.hibernate.dialect.Dialect            : HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2022-04-25 14:11:58.327  INFO [authorizationService,,] 14316 --- [restartedMain] o.h.e.t.j.p.i.JtaPlatformInitiator       : HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2022-04-25 14:11:58.328  INFO [authorizationService,,] 14316 --- [restartedMain] j.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
2022-04-25 14:11:58.609  INFO [authorizationService,,] 14316 --- [restartedMain] o.s.b.d.a.OptionalLiveReloadServer       : LiveReload server is running on port 35729
2022-04-25 14:11:58.696  WARN [authorizationService,,] 14316 --- [restartedMain] JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2022-04-25 14:11:59.174  INFO [authorizationService,,] 14316 --- [restartedMain] o.s.s.web.DefaultSecurityFilterChain     : Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@2a0e05e8, org.springframework.security.web.context.SecurityContextPersistenceFilter@62e99539, org.springframework.security.web.header.HeaderWriterFilter@6ffc8291, org.springframework.security.web.authentication.logout.LogoutFilter@325360ae, com.cognizant.filter.JwtFilter@47eb2c50, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@339aadf2, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@66ba1e49, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@918fed6, org.springframework.security.web.session.SessionManagementFilter@568eb348, org.springframework.security.web.access.ExceptionTranslationFilter@79200843, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@5c9839c4]
2022-04-25 14:12:00.363  INFO [authorizationService,,] 14316 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 9090 (http) with context path ''
2022-04-25 14:12:00.923  INFO [authorizationService,,] 14316 --- [restartedMain] d.s.w.p.DocumentationPluginsBootstrapper : Context refreshed
2022-04-25 14:12:00.924  INFO [authorizationService,,] 14316 --- [restartedMain] d.s.w.p.DocumentationPluginsBootstrapper : Found 1 custom documentation plugin(s)
2022-04-25 14:12:00.929  INFO [authorizationService,,] 14316 --- [restartedMain] s.d.s.w.s.ApiListingReferenceScanner     : Scanning for api listing references
2022-04-25 14:12:00.947  INFO [authorizationService,,] 14316 --- [restartedMain] c.c.AuthorizationMicroserviceApplication : Started AuthorizationMicroserviceApplication in 4.581 seconds (JVM running for 488.264)
2022-04-25 14:12:00.950  INFO [authorizationService,,] 14316 --- [restartedMain] .ConditionEvaluationDeltaLoggingListener : Condition evaluation unchanged
